Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0223,#C06890,332.7,45.8,75.3,3
LC-GP-0224,#E86080,345.9,58.6,91.0,2
LC-GP-0225,#C88090,346.7,36.0,78.4,3
LC-GP-0226,#E890A0,349.1,37.9,91.0,2
LC-GP-0227,#F088A8,341.5,43.3,94.1,2
LC-GP-0228,#F08098,347.1,46.7,94.1,2
LC-GP-0229,#E898B8,336.0,34.5,91.0,2
LC-GP-0230,#D888A8,336.0,37.0,84.7,2
LC-GP-0231,#F878A0,341.2,51.6,97.3,1
LC-GP-0232,#F078A0,340.0,50.0,94.1,2
LC-GP-0233,#F888C0,330.0,45.2,97.3,1
LC-GP-0234,#E878B0,330.0,48.3,91.0,2
LC-GP-0235,#F890B0,341.5,41.9,97.3,1
LC-GP-0236,#F080A0,342.9,46.7,94.1,2
LC-GP-0237,#E07898,341.5,46.4,87.8,2
LC-GP-0238,#F07898,344.0,50.0,94.1,2
LC-GP-0239,#E07098,338.6,50.0,87.8,2
LC-GP-0240,#E05888,338.8,60.7,87.8,2
LC-GP-0241,#D87098,336.9,48.1,84.7,2
LC-GP-0242,#E84878,342.0,69.0,91.0,2
LC-GP-0243,#E85880,343.3,62.1,91.0,2
LC-GP-0244,#F84868,349.1,71.0,97.3,1
LC-GP-0245,#F85068,351.4,67.7,97.3,1
LC-GP-0246,#F83868,345.0,77.4,97.3,1
LC-GP-0247,#E01850,343.2,89.3,87.8,2
LC-GP-0248,#F03078,337.5,80.0,94.1,2
LC-GP-0249,#F03068,342.5,80.0,94.1,2
LC-GP-0250,#F02860,343.2,83.3,94.1,2
LC-GP-0251,#F85888,342.0,64.5,97.3,1
LC-GP-0252,#F03088,332.5,80.0,94.1,2
LC-GP-0253,#F83078,338.4,80.6,97.3,1
LC-GP-0254,#F04078,340.9,73.3,94.1,2
LC-GP-0255,#F82088,331.1,87.1,97.3,1
LC-GP-0256,#F84090,333.9,74.2,97.3,1
LC-GP-0257,#F060A0,333.3,60.0,94.1,2
LC-GP-0258,#E84080,337.1,72.4,91.0,2
LC-GP-0259,#E85070,347.4,65.5,91.0,2
LC-GP-0260,#C03058,343.3,75.0,75.3,3
LC-GP-0261,#C03060,340.0,75.0,75.3,3
LC-GP-0262,#D03070,336.0,76.9,81.6,3
LC-GP-0263,#C03868,338.8,70.8,75.3,3
LC-GP-0264,#C03868,338.8,70.8,75.3,3
LC-GP-0265,#D05078,341.2,61.5,81.6,3
LC-GP-0266,#D03878,334.7,73.1,81.6,3
LC-GP-0267,#D03870,337.9,73.1,81.6,3
LC-GP-0268,#C85080,336.0,60.0,78.4,3
LC-GP-0269,#D85078,342.4,63.0,84.7,2
LC-GP-0270,#F878B0,333.8,51.6,97.3,1
LC-GP-0271,#F070B8,326.2,53.3,94.1,2
LC-GP-0272,#E878C8,317.1,48.3,91.0,2
LC-GP-0273,#C84890,326.2,64.0,78.4,3
LC-GP-0274,#D858A0,326.2,59.3,84.7,2
LC-GP-0275,#C050A8,312.9,58.3,75.3,3
LC-GP-0276,#E840D0,308.6,72.4,91.0,2
LC-GP-0277,#E028A0,320.9,82.1,87.8,2
LC-GP-0278,#C00088,317.5,100.0,75.3,3
LC-GP-0279,#A03060,334.3,70.0,62.7,4
LC-GP-0280,#B02090,313.3,81.8,69.0,4
LC-GP-0281,#801840,336.9,81.2,50.2,5
LC-GP-0282,#A82088,314.1,81.0,65.9,4
LC-GP-0283,#880878,307.5,94.1,53.3,5
LC-GP-0284,#703098,276.9,68.4,59.6,5
LC-GP-0285,#382040,285.0,50.0,25.1,8
LC-GP-0286,#A00890,306.3,95.0,62.7,4
LC-GP-0287,#A030A8,296.0,71.4,65.9,4
