SL_Code,Target_HEX,Mixed_HEX,Delta_E,S1,S8,S2,S4,S5,S19,S7,S9,S10,S11,S12,S14,S15
SL0199,#901020,#B51428,14.53,0,0,0,0,0,0,3,0,7,0,0,0,10
SL0200,#981838,#AB1D3F,6.77,1,0,0,0,0,0,0,0,11,0,0,0,9
SL0201,#B01028,#AC1027,1.35,0,0,0,0,0,0,7,0,6,0,0,0,8
SL0202,#A80820,#A20820,2.35,0,0,0,0,0,0,15,0,2,0,0,0,4
SL0203,#A81020,#B01024,2.51,0,0,0,0,0,0,7,0,5,0,0,0,8
SL0204,#A01018,#B8121B,9.62,0,0,0,0,0,0,8,0,3,0,0,0,9
SL0205,#C80020,#9D041C,17.42,0,0,0,0,0,0,18,0,0,0,0,0,2
SL0206,#B81028,#AB0E25,5.29,0,0,0,0,0,0,8,0,5,0,0,0,7
SL0207,#C81018,#B50E14,7.46,0,0,0,0,0,0,13,0,0,0,0,0,7
SL0208,#D80008,#BA1013,15.33,0,0,0,0,0,0,12,0,0,0,0,0,8
SL0209,#B01028,#AC1027,1.35,0,0,0,0,0,0,7,0,6,0,0,0,8
SL0210,#B81030,#A70E2C,6.84,0,0,0,0,0,0,6,0,7,0,0,0,7
SL0211,#C01840,#A81237,8.27,0,0,0,0,0,0,0,0,11,0,0,0,9
SL0212,#C01828,#BC1826,1.7,0,0,0,0,0,0,1,0,7,0,0,0,11
SL0213,#C81830,#B8172A,5.86,0,0,0,0,0,0,1,0,8,0,0,0,11
SL0214,#B81828,#BC1928,1.78,0,0,0,0,0,0,0,0,8,0,0,0,12
SL0215,#B02828,#CF322F,10.81,2,0,0,0,0,0,0,0,5,0,0,0,13
SL0216,#D83850,#BA354A,11.72,3,0,0,0,0,0,0,0,8,0,0,0,9
SL0217,#F85068,#C04050,18.75,4,0,0,0,0,0,0,0,7,0,0,0,9
SL0218,#F06860,#D95C52,7.14,6,0,0,0,0,0,0,0,3,0,0,0,11
SL0219,#B05040,#E56953,17.44,7,0,0,0,0,0,0,0,1,0,0,0,12
SL0220,#A04048,#C64C56,12.85,5,0,0,0,0,0,0,0,6,0,0,0,9
SL0221,#C85050,#D15250,3.89,5,0,0,0,0,0,0,0,4,0,0,0,10
SL0222,#E05070,#B64059,13.27,4,0,0,0,0,0,0,0,8,0,0,0,7
SL0223,#C06890,#AF6287,6.07,8,0,0,0,0,0,0,0,9,0,0,0,3
SL0224,#E86080,#B84860,14.79,5,0,0,0,0,0,0,0,8,0,0,0,7
SL0225,#C88090,#C17B8E,2.78,10,0,0,0,0,0,0,0,6,0,0,0,4
SL0226,#E890A0,#C87D89,9.8,10,0,0,0,0,0,0,0,5,0,0,0,5
SL0227,#F088A8,#B96983,16.77,8,0,0,0,0,0,0,0,7,0,0,0,4
SL0228,#F08098,#BF6377,15.22,8,0,0,0,0,0,0,0,7,0,0,0,6
SL0229,#E898B8,#BB7993,14.37,10,0,0,0,0,0,0,0,7,0,0,0,3
SL0230,#D888A8,#BB7993,9.5,10,0,0,0,0,0,0,0,7,0,0,0,3
SL0231,#F878A0,#B65B76,20.63,7,0,0,0,0,0,0,0,8,0,0,0,5
SL0232,#F078A0,#B65B76,18.23,7,0,0,0,0,0,0,0,8,0,0,0,5
SL0233,#F888C0,#AF6287,23.93,8,0,0,0,0,0,0,0,9,0,0,0,3
SL0234,#E878B0,#A95780,20.02,7,0,0,0,0,0,0,0,10,0,0,0,3
SL0235,#F890B0,#BB7088,18.62,9,0,0,0,0,0,0,0,7,0,0,0,4
SL0236,#F080A0,#BC667D,16.27,8,0,0,0,0,0,0,0,7,0,0,0,5
SL0237,#E07898,#B8617B,12.43,8,0,0,0,0,0,0,0,8,0,0,0,5
SL0238,#F07898,#B65B76,17.73,7,0,0,0,0,0,0,0,8,0,0,0,5
SL0239,#E07098,#B0597B,15.18,7,0,0,0,0,0,0,0,9,0,0,0,4
SL0240,#E05888,#AB446A,17.28,5,0,0,0,0,0,0,0,10,0,0,0,5
SL0241,#D87098,#B0597B,12.73,7,0,0,0,0,0,0,0,9,0,0,0,4
SL0242,#E84878,#AC3154,19.15,3,0,0,0,0,0,0,0,10,0,0,0,7
SL0243,#E85880,#B14665,17.82,5,0,0,0,0,0,0,0,9,0,0,0,6
SL0244,#F84868,#B7364D,21.77,3,0,0,0,0,0,0,0,8,0,0,0,8
SL0245,#F85068,#C04050,18.75,4,0,0,0,0,0,0,0,7,0,0,0,9
SL0246,#F83868,#AD2748,25.1,2,0,0,0,0,0,0,0,10,0,0,0,8
SL0247,#E01850,#A2103C,22.46,0,0,0,0,0,0,0,0,12,0,0,0,8
SL0248,#F03078,#A02352,27.83,2,0,0,0,0,0,0,0,12,0,0,0,6
SL0249,#F03068,#A7254D,25.88,2,0,0,0,0,0,0,0,11,0,0,0,7
SL0250,#F02860,#A71C42,24.85,1,0,0,0,0,0,0,0,11,0,0,0,8
SL0251,#F85888,#AC3A5F,24.33,4,0,0,0,0,0,0,0,10,0,0,0,6
SL0252,#F03088,#992157,30.11,2,0,0,0,0,0,0,0,13,0,0,0,5
SL0253,#F83078,#A02352,30.69,2,0,0,0,0,0,0,0,12,0,0,0,6
SL0254,#F04078,#A92F54,23.65,3,0,0,0,0,0,0,0,11,0,0,0,7
SL0255,#F82088,#931651,35.08,1,0,0,0,0,0,0,0,14,0,0,0,5
SL0256,#F84090,#9F2D5E,30.3,3,0,0,0,0,0,0,0,12,0,0,0,5
SL0257,#F060A0,#A4426F,24.38,5,0,0,0,0,0,0,0,11,0,0,0,4
SL0258,#E84080,#A62F59,22.66,3,0,0,0,0,0,0,0,11,0,0,0,6
SL0259,#E85070,#B93E55,14.99,4,0,0,0,0,0,0,0,8,0,0,0,8
SL0260,#C03058,#AA274C,7.44,2,0,0,0,0,0,0,0,10,0,0,0,7
SL0261,#C03060,#A32551,9.83,2,0,0,0,0,0,0,0,11,0,0,0,6
SL0262,#D03070,#A02352,16.81,2,0,0,0,0,0,0,0,12,0,0,0,6
SL0263,#C03868,#A62F59,8.87,3,0,0,0,0,0,0,0,11,0,0,0,6
