Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
LC-GP-0764,LC-GP-0764,ml,Inventory,Gel Polish,Solid Colours,Colour: #6058B0,25,10ml,Bottle,#6058B0,
LC-GP-765,LC-GP-765,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-765.webp
LC-GP-0765,LC-GP-0765,ml,Inventory,Gel Polish,Solid Colours,Colour: #4848A0,25,10ml,Bottle,#4848A0,
LC-GP-766,LC-GP-766,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-766.webp
LC-GP-0766,LC-GP-0766,ml,Inventory,Gel Polish,Solid Colours,Colour: #6068B8,25,10ml,Bottle,#6068B8,
LC-GP-767,LC-GP-767,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-767.webp
LC-GP-0767,LC-GP-0767,ml,Inventory,Gel Polish,Solid Colours,Colour: #6878C8,25,10ml,Bottle,#6878C8,
LC-GP-768,LC-GP-768,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-768.webp
LC-GP-0768,LC-GP-0768,ml,Inventory,Gel Polish,Solid Colours,Colour: #5868C0,25,10ml,Bottle,#5868C0,
LC-GP-769,LC-GP-769,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-769.webp
LC-GP-0769,LC-GP-0769,ml,Inventory,Gel Polish,Solid Colours,Colour: #5898F8,25,10ml,Bottle,#5898F8,
LC-GP-770,LC-GP-770,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-770.webp
LC-GP-0770,LC-GP-0770,ml,Inventory,Gel Polish,Solid Colours,Colour: #6090C8,25,10ml,Bottle,#6090C8,
LC-GP-771,LC-GP-771,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-771.webp
LC-GP-0771,LC-GP-0771,ml,Inventory,Gel Polish,Solid Colours,Colour: #2898F0,25,10ml,Bottle,#2898F0,
LC-GP-772,LC-GP-772,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-772.webp
LC-GP-0772,LC-GP-0772,ml,Inventory,Gel Polish,Solid Colours,Colour: #2880E0,25,10ml,Bottle,#2880E0,
LC-GP-773,LC-GP-773,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-773.webp
LC-GP-0773,LC-GP-0773,ml,Inventory,Gel Polish,Solid Colours,Colour: #3880E0,25,10ml,Bottle,#3880E0,
LC-GP-774,LC-GP-774,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-774.webp
LC-GP-0774,LC-GP-0774,ml,Inventory,Gel Polish,Solid Colours,Colour: #2858C8,25,10ml,Bottle,#2858C8,
